Species2,Family2,Order2,Avibase.ID2,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,common_name,scientific_name_23
Vidua codringtoni,Viduidae,Passeriformes,AVIBASE-634F5756,3,0,3,0,3,10.1,6.2,4.3,5.9,14.7,67.2,14.3,52.9,21.2,42.3,12.8,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Granivore,Terrestrial,Green Indigobird,Vidua codringtoni
Vidua fischeri,Viduidae,Passeriformes,AVIBASE-424B857C,8,4,4,0,4,10.2,6.1,4.1,5.9,14.5,67.3,14.9,52.4,22.2,41.7,12.2,Dunning,NA,NO,NA,NA,Shrubland,3,1,Herbivore,Granivore,Terrestrial,Straw-tailed Whydah,Vidua fischeri
Vidua funerea,Viduidae,Passeriformes,AVIBASE-49EF9657,5,0,5,0,4,10.5,6.4,4.4,6,13.6,67.8,15,52.5,22.2,42.9,14.3,Dunning,NA,NO,NA,NA,Woodland,3,1,Herbivore,Granivore,Terrestrial,Dusky Indigobird,Vidua funerea
Vidua hypocherina,Viduidae,Passeriformes,AVIBASE-8D05A048,5,2,3,0,4,10.1,6.4,4.4,5.9,14.4,64.5,13.2,51.2,20.5,44.4,11.9,Dunning,NA,NO,NA,NA,Shrubland,3,1,Herbivore,Granivore,Terrestrial,Steel-blue Whydah,Vidua hypocherina
Vidua interjecta,Viduidae,Passeriformes,AVIBASE-78607A22,4,2,2,0,4,11.7,6.8,4.5,5.8,16.6,75.4,18.6,56.8,24.6,57.5,20.6,Dunning,NA,NO,NA,NA,Woodland,3,1,Herbivore,Granivore,Terrestrial,Exclamatory Paradise-Whydah,Vidua interjecta
Vidua larvaticola,Viduidae,Passeriformes,AVIBASE-04D7BC6C,7,3,4,0,7,9.7,6,4.8,6.1,13.5,64.8,15,49.8,23.1,37.8,13.1,Dunning,NA,NO,NA,NA,Shrubland,3,1,Herbivore,Granivore,Terrestrial,Barka Indigobird,Vidua larvaticola
Vidua macroura,Viduidae,Passeriformes,AVIBASE-673E66F0,9,4,5,0,4,10.4,6.3,4.3,6.3,15.7,69,13.8,54.5,20.2,47.3,15.7,Dunning,NA,NO,NA,NA,Shrubland,3,1,Herbivore,Granivore,Terrestrial,Pin-tailed Whydah,Vidua macroura
Vidua maryae,Viduidae,Passeriformes,AVIBASE-12EC9197,4,2,2,0,4,10.1,6.3,4.6,6,14.1,66.4,16.4,50,24.8,38.2,12.8,Dunning,NA,NO,NA,NA,Rock,3,1,Herbivore,Granivore,Terrestrial,Jos Plateau Indigobird,Vidua maryae
Vidua nigeriae,Viduidae,Passeriformes,AVIBASE-86FBD1A0,5,1,4,0,4,9.4,5.5,3.6,5.4,13.2,63.2,14.7,49.1,23,40,12,Dunning,NA,NO,NA,NA,Shrubland,3,1,Herbivore,Granivore,Terrestrial,Quailfinch Indigobird,Vidua nigeriae
Vidua obtusa,Viduidae,Passeriformes,AVIBASE-C1A42CCA,5,0,5,0,4,12.3,7.1,5.2,6.7,16.1,81.8,18.5,63.2,22.7,60.5,20.7,Dunning,NA,NO,NA,NA,Woodland,3,1,Herbivore,Granivore,Terrestrial,Broad-tailed Paradise-Whydah,Vidua obtusa
Vidua orientalis,Viduidae,Passeriformes,AVIBASE-DFCFAB2A,5,2,3,0,4,10.8,6.6,5,6.3,16,74.7,16.4,57.5,22.1,60.2,18.5,Dunning,NA,NO,NA,NA,Grassland,3,1,Herbivore,Granivore,Terrestrial,Sahel Paradise-Whydah,Vidua orientalis
Vidua paradisaea,Viduidae,Passeriformes,AVIBASE-ACF0F1A2,8,3,5,0,4,12.1,7.1,5.2,6.9,16,78.6,17,61.8,21.6,59.7,20.4,Dunning,NA,NO,NA,NA,Woodland,3,1,Herbivore,Granivore,Terrestrial,Eastern Paradise-Whydah,Vidua paradisaea
Vidua purpurascens,Viduidae,Passeriformes,AVIBASE-2AA13F1D,5,2,3,0,4,10.1,6.2,3.7,5.5,14.1,67,14.3,52.2,21.5,42.2,13.1,Dunning,NA,NO,NA,NA,Woodland,3,1,Herbivore,Granivore,Terrestrial,Purple Indigobird,Vidua purpurascens
Vidua raricola,Viduidae,Passeriformes,AVIBASE-30A131ED,4,0,4,0,3,9.1,5.4,3.8,5.7,13.5,63.2,13.7,49.3,21.8,38.9,11.9,Dunning,NA,NO,NA,NA,Grassland,3,1,Herbivore,Granivore,Terrestrial,Jambandu Indigobird,Vidua raricola
Vidua regia,Viduidae,Passeriformes,AVIBASE-019E8CA3,4,2,2,0,4,11.4,6.2,4.1,6,15.3,70.2,16.2,54,23.1,42.9,14.4,Dunning,NA,NO,NA,NA,Shrubland,3,1,Herbivore,Granivore,Terrestrial,Shaft-tailed Whydah,Vidua regia
Vidua togoensis,Viduidae,Passeriformes,AVIBASE-E60F7093,4,0,2,2,4,11.3,6.9,4.7,6.1,15.9,74.8,16.9,57.8,22.6,57.6,15.6,EltonTraits_GenAvg,NA,NO,NA,NA,Woodland,3,1,Herbivore,Granivore,Terrestrial,Togo Paradise-Whydah,Vidua togoensis
Vidua wilsoni,Viduidae,Passeriformes,AVIBASE-0D1546EC,5,0,5,0,4,10.3,6.1,4.1,5.9,13.4,62.9,13.7,48.9,21.9,37.3,13.1,Dunning,NA,NO,NA,NA,Grassland,3,1,Herbivore,Granivore,Terrestrial,Wilson's Indigobird,Vidua wilsoni
Cyclarhis gujanensis,Vireonidae,Passeriformes,AVIBASE-8776BD04,69,17,40,12,4,18,11.1,5.8,9.2,22.8,76.2,11.2,64.9,14.8,64.1,28.8,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,Rufous-browed Peppershrike,Cyclarhis gujanensis
Cyclarhis nigrirostris,Vireonidae,Passeriformes,AVIBASE-444E5987,16,4,7,5,4,18.6,10.7,5.3,7.3,22.6,76.7,10.4,66.2,13.5,62.6,31.9,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,Black-billed Peppershrike,Cyclarhis nigrirostris
Erpornis zantholeuca,Vireonidae,Passeriformes,AVIBASE-EECEDB6F,11,2,9,0,4,15.4,8.4,3.9,4.2,16.7,66.4,11.3,54.8,17.1,44,11.8,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Invertivore,Insessorial,White-bellied Erpornis,Erpornis zantholeuca
Hylophilus amaurocephalus,Vireonidae,Passeriformes,AVIBASE-7CA69E1B,24,6,10,8,4,12.6,7.7,3.5,4.2,17.2,52.8,6.8,46.2,12.9,49.3,11.7,Updated_literature,Dunning (2021),NO,NA,NA,Shrubland,1,1,Omnivore,Invertivore,Insessorial,Gray-eyed Greenlet,Hylophilus amaurocephalus
Hylophilus brunneiceps,Vireonidae,Passeriformes,AVIBASE-04FCFB94,13,0,7,6,4,15.4,9.1,3.8,4.2,17.5,56.1,5.4,50.9,9.6,41.3,9.9,Dunning,NA,NO,NA,NA,Shrubland,2,1,Carnivore,Invertivore,Insessorial,Brown-headed Greenlet,Hylophilus brunneiceps
Hylophilus flavipes,Vireonidae,Passeriformes,AVIBASE-8D6D0F25,16,2,8,6,4,14,7.9,3.9,4.3,19.6,56.3,6.6,49.4,11.8,45,11.7,Dunning,NA,NO,NA,NA,Shrubland,2,1,Carnivore,Invertivore,Insessorial,Scrub Greenlet,Hylophilus flavipes
Hylophilus olivaceus,Vireonidae,Passeriformes,AVIBASE-2E5B2F9F,3,1,2,0,2,14.3,7.8,3.2,4,18.6,58,8.7,49.3,15,51,12,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,Olivaceous Greenlet,Hylophilus olivaceus
Hylophilus pectoralis,Vireonidae,Passeriformes,AVIBASE-18CB2D8A,14,4,10,0,4,13.9,7.8,3.8,4.2,18.1,53.8,6,47.8,11.1,43,11.6,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,Ashy-headed Greenlet,Hylophilus pectoralis
Hylophilus poicilotis,Vireonidae,Passeriformes,AVIBASE-5F94B6F3,13,4,9,0,4,13.4,7.6,3.6,3.8,18.5,55.5,7,48.5,12.6,52.7,10.4,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,Rufous-crowned Greenlet,Hylophilus poicilotis
Hylophilus semicinereus,Vireonidae,Passeriformes,AVIBASE-4FB729B2,12,2,9,1,4,14.4,8.4,3.9,4.1,18.4,55.8,6.2,49.8,11,44.3,13,Dunning,NA,NO,NA,NA,Human Modified,1,1,Carnivore,Invertivore,Insessorial,Gray-chested Greenlet,Hylophilus semicinereus
Hylophilus thoracicus,Vireonidae,Passeriformes,AVIBASE-67DE3837,13,2,8,3,4,15.4,8.2,3.8,4.2,18.3,55.8,5.9,49.7,10.6,47.3,13.8,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,Lemon-chested Greenlet,Hylophilus thoracicus
Pachysylvia aurantiifrons,Vireonidae,Passeriformes,AVIBASE-05336066,13,4,9,0,4,16.1,8.9,3.9,4,17.6,54.9,6.4,48.5,11.7,44.7,9.5,Dunning,NA,NO,NA,NA,Woodland,1,1,Carnivore,Invertivore,Insessorial,Golden-fronted Greenlet,Pachysylvia aurantiifrons
Pachysylvia decurtata,Vireonidae,Passeriformes,AVIBASE-58274D5F,34,8,20,6,5,14.6,8.4,3.5,3.7,16.9,52.5,6.8,46.7,12.8,36,8.5,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,Lesser Greenlet,Pachysylvia decurtata
Pachysylvia hypoxantha,Vireonidae,Passeriformes,AVIBASE-7FE65F39,13,2,9,2,4,15.6,8.8,3.6,4,16.7,58.6,7.7,51.2,13.1,44.3,17,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,Dusky-capped Greenlet,Pachysylvia hypoxantha
Pachysylvia muscicapina,Vireonidae,Passeriformes,AVIBASE-66B55F55,14,2,10,2,6,16.6,10.6,3.8,4.2,17.5,60.4,8.7,51.7,14.3,44.4,11.7,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,Buff-cheeked Greenlet,Pachysylvia muscicapina
Pachysylvia semibrunnea,Vireonidae,Passeriformes,AVIBASE-204918E7,16,0,6,10,4,16,9,4,4.3,17.9,62.2,7.8,54.4,12.6,50.1,11.4,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,Rufous-naped Greenlet,Pachysylvia semibrunnea
Pteruthius aenobarbus,Vireonidae,Passeriformes,AVIBASE-DC2B6EBC,1,0,1,0,0,11.8,5.4,3.6,4,18,59,9,50,15.3,47,11.8,Updated_literature,BoW,YES,Beak Nares,Pteruthius melanotis,Forest,1,1,Carnivore,Invertivore,Insessorial,Trilling Shrike-Babbler,Pteruthius aenobarbus
Pteruthius aeralatus,Vireonidae,Passeriformes,AVIBASE-CD36CD10,0,0,0,0,0,16.8,8.4,5.5,5.6,24.7,70.1,13.6,56.5,19.4,48.2,38.7,Dunning,NA,YES,Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length,Pteruthius flaviscapis,Forest,1,1,Carnivore,Invertivore,Insessorial,NA,NA
Pteruthius annamensis,Vireonidae,Passeriformes,AVIBASE-35B3D0EA,4,0,4,0,0,18.8,8.4,6.5,6.2,27.5,79.8,14.8,65,18.5,53,38.7,DataFromSplit,NA,YES,Beak Nares,Pteruthius flaviscapis,Forest,1,1,Carnivore,Invertivore,Insessorial,NA,NA
Pteruthius flaviscapis,Vireonidae,Passeriformes,AVIBASE-E0AB44A1,9,2,7,0,4,16.8,8.4,5.5,5.6,24.7,70.1,13.6,56.5,19.4,48.2,38.7,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,Pied Shrike-Babbler,Pteruthius flaviscapis
Pteruthius intermedius,Vireonidae,Passeriformes,AVIBASE-0037A14F,8,2,6,0,4,11.7,5.7,4.3,4.1,19.4,59.2,10.5,48.8,17.6,41.1,11.8,DataFromSplit,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,Clicking Shrike-Babbler,Pteruthius intermedius
Pteruthius melanotis,Vireonidae,Passeriformes,AVIBASE-17DB8BA0,10,2,8,0,4,11.8,5.4,4,3.9,19.9,59.3,10.2,49.2,17.2,41.4,13.3,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,Black-eared Shrike-Babbler,Pteruthius melanotis
Pteruthius ripleyi,Vireonidae,Passeriformes,AVIBASE-3D4E034C,6,0,6,0,0,19.1,8.4,6.4,6.1,28.2,80.2,11.3,68.8,14.1,57.2,38.7,DataFromSplit,NA,YES,Beak Nares,Pteruthius flaviscapis,Forest,1,1,Carnivore,Invertivore,Insessorial,NA,NA
Pteruthius rufiventer,Vireonidae,Passeriformes,AVIBASE-484E9B46,10,2,8,0,4,21.1,10.7,6.1,6.3,30.1,89,14.4,74.6,16.1,81.8,43,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,Black-headed Shrike-Babbler,Pteruthius rufiventer
Pteruthius xanthochlorus,Vireonidae,Passeriformes,AVIBASE-00C6FC90,10,2,8,0,4,11.8,5.4,3.9,3.9,21.6,62,10.1,51.9,16.3,45.9,14.3,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Invertivore,Insessorial,Green Shrike-Babbler,Pteruthius xanthochlorus
Tunchiornis ochraceiceps,Vireonidae,Passeriformes,AVIBASE-ED290593,44,15,18,11,10,15.6,8.7,3.6,4.2,16.8,57.1,7.5,49.5,13.2,43.9,11.6,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,Tawny-crowned Greenlet,Tunchiornis ochraceiceps
Vireo altiloquus,Vireonidae,Passeriformes,AVIBASE-F57ECDC5,22,5,14,3,4,20.6,12,4.5,4.7,19.2,80.4,20.1,60.2,25,54.2,19,Dunning,NA,NO,NA,NA,Woodland,2,1,Omnivore,Invertivore,Insessorial,Black-whiskered Vireo,Vireo altiloquus
Vireo atricapilla,Vireonidae,Passeriformes,AVIBASE-DEFD8414,10,2,8,0,4,13.1,6.8,3.7,3.3,19.8,54.8,8.2,46.6,14.9,42.9,9,Dunning,NA,NO,NA,NA,Shrubland,2,3,Carnivore,Invertivore,Insessorial,Black-capped Vireo,Vireo atricapilla
Vireo bairdi,Vireonidae,Passeriformes,AVIBASE-080AFDB2,10,0,4,6,4,14.9,7.8,4.1,4.4,22.6,61.2,8.5,52.7,13.9,50.6,12,Dunning,NA,NO,NA,NA,Woodland,2,1,Carnivore,Invertivore,Insessorial,Cozumel Vireo,Vireo bairdi
Vireo bellii,Vireonidae,Passeriformes,AVIBASE-C3168495,13,3,10,0,4,13.5,7,3.7,3.7,19.2,55.7,10.8,44.9,19.4,44.1,8.5,Dunning,NA,NO,NA,NA,Shrubland,2,3,Carnivore,Invertivore,Insessorial,Bell's Vireo,Vireo bellii
Vireo brevipennis,Vireonidae,Passeriformes,AVIBASE-5C84E2D2,9,1,6,2,4,13.2,6.8,3.8,3.6,20.6,56.9,6.2,50.7,10.9,53.9,11.8,Dunning,NA,NO,NA,NA,Shrubland,2,1,Carnivore,Invertivore,Insessorial,Slaty Vireo,Vireo brevipennis
Vireo caribaeus,Vireonidae,Passeriformes,AVIBASE-27936203,2,1,1,0,2,13.8,7.1,3.8,3.9,20,56.5,7.6,48.9,13.4,48.5,9.3,Dunning,NA,NO,NA,NA,Woodland,2,1,Omnivore,Invertivore,Insessorial,San Andres Vireo,Vireo caribaeus
Vireo carmioli,Vireonidae,Passeriformes,AVIBASE-DDD6C145,17,4,12,1,4,12.5,6.7,3.6,4,18.8,65.6,12.6,52.6,19.4,48.4,13.1,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,Yellow-winged Vireo,Vireo carmioli
Vireo cassinii,Vireonidae,Passeriformes,AVIBASE-EB0CD5DC,12,3,9,0,4,14.7,7.7,4.1,4.3,19.3,73.6,20.5,53,27.9,51,14.7,Dunning,NA,NO,NA,NA,Forest,2,3,Carnivore,Invertivore,Insessorial,Cassin's Vireo,Vireo cassinii
Vireo chivi,Vireonidae,Passeriformes,AVIBASE-3B1C7AD8,37,9,12,16,4,14,9.2,4.4,4.3,18.3,68,14.1,53,20.9,52.1,16.1,DataFromSplit,NA,NO,NA,NA,Forest,1,3,Omnivore,Invertivore,Insessorial,Chivi Vireo,Vireo chivi
Vireo crassirostris,Vireonidae,Passeriformes,AVIBASE-AEA614AF,11,3,7,1,4,15.8,9,4.4,4.9,21.4,62.1,9.4,52.5,15.2,50.3,13,Dunning,NA,NO,NA,NA,Woodland,2,1,Carnivore,Invertivore,Insessorial,Thick-billed Vireo,Vireo crassirostris
Vireo flavifrons,Vireonidae,Passeriformes,AVIBASE-F8DDF6A6,27,7,13,7,4,15.1,8.5,4.3,4.9,19.3,76.3,25.8,50.4,33.8,48.4,18,Dunning,NA,NO,NA,NA,Forest,2,3,Carnivore,Invertivore,Insessorial,Yellow-throated Vireo,Vireo flavifrons
Vireo flavoviridis,Vireonidae,Passeriformes,AVIBASE-6A7F76A7,22,5,14,3,4,18.1,9.9,4.4,4.6,18.9,77.7,20.4,58.5,25.9,51.9,17.6,Dunning,NA,NO,NA,NA,Woodland,2,3,Omnivore,Invertivore,Insessorial,Yellow-green Vireo,Vireo flavoviridis
Vireo gilvus,Vireonidae,Passeriformes,AVIBASE-66AA469C,21,5,13,3,11,14.3,7.5,3.7,3.7,17.6,70.1,16.5,53.5,23.5,51.3,12.7,Dunning,NA,NO,NA,NA,Forest,1,3,Carnivore,Invertivore,Insessorial,Warbling Vireo,Vireo gilvus
Vireo gracilirostris,Vireonidae,Passeriformes,AVIBASE-63999CD3,9,3,6,0,4,18,9.2,3.3,3.5,20.8,62.9,8.8,53.5,14.1,57,16.5,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,Noronha Vireo,Vireo gracilirostris
Vireo griseus,Vireonidae,Passeriformes,AVIBASE-D97F93CC,24,6,13,5,11,13.7,7.4,3.9,4.1,19.5,61.6,11.1,50.6,17.9,48.9,11.4,Dunning,NA,NO,NA,NA,Shrubland,2,3,Carnivore,Invertivore,Insessorial,White-eyed Vireo,Vireo griseus
Vireo gundlachii,Vireonidae,Passeriformes,AVIBASE-73CF3166,10,2,8,0,4,15.4,7.8,4.3,4.5,21.4,56,6,50.1,10.6,50.8,12.9,Dunning,NA,NO,NA,NA,Shrubland,1,1,Carnivore,Invertivore,Insessorial,Cuban Vireo,Vireo gundlachii
Vireo huttoni,Vireonidae,Passeriformes,AVIBASE-1BDF5C00,15,4,11,0,4,13.1,6.9,3.7,3.8,19.5,63.2,10.8,52.6,17,49.1,11.3,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,Hutton's Vireo,Vireo huttoni
Vireo hypochryseus,Vireonidae,Passeriformes,AVIBASE-CCF80099,13,3,10,0,4,15.7,8.2,4.2,4.4,19,62.8,9.6,53,15.3,54.8,12.2,Dunning,NA,NO,NA,NA,Shrubland,1,1,Carnivore,Invertivore,Insessorial,Golden Vireo,Vireo hypochryseus
Vireo latimeri,Vireonidae,Passeriformes,AVIBASE-F32AC037,10,0,5,5,4,14.3,7.7,4,3.9,19.7,56.6,7.3,49.4,12.9,44.7,12,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,Puerto Rican Vireo,Vireo latimeri
Vireo leucophrys,Vireonidae,Passeriformes,AVIBASE-66DCDF47,33,4,23,6,4,14,7.8,3.8,3.9,17.6,64.9,12.3,52.7,18.9,49.7,12.3,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,Brown-capped Vireo,Vireo leucophrys
Vireo magister,Vireonidae,Passeriformes,AVIBASE-A457E9DB,11,1,8,2,4,19.6,11.2,4.4,5.1,21.6,74.9,14.7,60.2,19.6,53.6,15.4,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Invertivore,Insessorial,Yucatan Vireo,Vireo magister
Vireo masteri,Vireonidae,Passeriformes,AVIBASE-F63CE02E,1,0,1,0,1,12.1,7.6,2.9,3.3,17.1,55.4,9.2,46.2,16.6,40.2,11.2,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,Choco Vireo,Vireo masteri
Vireo modestus,Vireonidae,Passeriformes,AVIBASE-E57A8704,12,2,8,2,4,12.5,6.4,3.6,3.6,19.3,56.6,6.8,49.8,11.9,49,9.6,Dunning,NA,NO,NA,NA,Woodland,1,1,Carnivore,Invertivore,Insessorial,Jamaican Vireo,Vireo modestus
Vireo nanus,Vireonidae,Passeriformes,AVIBASE-D25FD07A,7,1,6,0,4,12.5,6,4.5,3.3,20.2,55.4,7.1,48.3,12.8,51.1,10.5,Dunning,NA,NO,NA,NA,Woodland,1,1,Omnivore,Invertivore,Insessorial,Flat-billed Vireo,Vireo nanus
Vireo nelsoni,Vireonidae,Passeriformes,AVIBASE-CFAA6365,5,1,4,0,4,12.6,6.6,3.2,3,19.2,55.2,6.6,48.6,11.9,46.2,9.4,Dunning,NA,NO,NA,NA,Shrubland,2,1,Carnivore,Invertivore,Insessorial,Dwarf Vireo,Vireo nelsoni
Vireo olivaceus,Vireonidae,Passeriformes,AVIBASE-847717E2,31,7,9,15,8,16.4,9.6,4.3,4.4,19.5,77.5,23.6,55.6,29.8,52.7,16.1,Dunning,NA,NO,NA,NA,Forest,1,3,Omnivore,Invertivore,Insessorial,Red-eyed Vireo,Vireo olivaceus
Vireo osburni,Vireonidae,Passeriformes,AVIBASE-A505AE50,9,2,7,0,3,17.3,9.2,4.9,5.7,21.7,72.9,10.7,62.2,14.6,56.6,19.9,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Omnivore,Insessorial,Blue Mountain Vireo,Vireo osburni
Vireo pallens,Vireonidae,Passeriformes,AVIBASE-A1FD40E8,19,4,15,0,7,14.4,8,4.1,4.2,21,57,8.1,48.9,14.2,46.6,11,Dunning,NA,NO,NA,NA,Woodland,2,3,Carnivore,Invertivore,Insessorial,Mangrove Vireo,Vireo pallens
Vireo philadelphicus,Vireonidae,Passeriformes,AVIBASE-447A1BA5,31,8,17,6,4,13.2,6.9,3.4,3.5,17,66.2,17,49.4,25.6,47.1,11.5,Dunning,NA,NO,NA,NA,Woodland,1,3,Carnivore,Invertivore,Insessorial,Philadelphia Vireo,Vireo philadelphicus
Vireo plumbeus,Vireonidae,Passeriformes,AVIBASE-1BB9C864,18,5,12,1,4,14.8,7.8,4.2,4.9,19.1,77,22.7,56.6,28.6,56.7,16.4,Dunning,NA,NO,NA,NA,Forest,2,3,Carnivore,Invertivore,Insessorial,Plumbeous Vireo,Vireo plumbeus
Vireo sclateri,Vireonidae,Passeriformes,AVIBASE-DA676D6C,11,2,9,0,4,14.2,7.6,3.7,3.8,17.7,59.7,9.7,50,16.3,49.5,11.2,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,Tepui Vireo,Vireo sclateri
Vireo solitarius,Vireonidae,Passeriformes,AVIBASE-95DB0943,11,3,8,0,4,13.7,7.5,4,4.4,18.6,75.3,22.1,53.2,29.3,51.4,15.3,Dunning,NA,NO,NA,NA,Forest,1,3,Carnivore,Invertivore,Insessorial,Blue-headed Vireo,Vireo solitarius
Vireo vicinior,Vireonidae,Passeriformes,AVIBASE-48DBE76D,11,2,9,0,4,13.7,7.3,4.4,4.7,19.9,63.6,9.8,53.8,15.5,56.8,12.8,Dunning,NA,NO,NA,NA,Forest,2,3,Carnivore,Invertivore,Insessorial,Gray Vireo,Vireo vicinior
Vireolanius eximius,Vireonidae,Passeriformes,AVIBASE-5482299A,8,0,0,8,4,19.7,11.4,5.5,6.8,21,72.9,12.1,60.7,16.6,50.7,24,Inferred,NA,YES,Body Mass,Vireolanius pulchellus,Forest,1,1,Carnivore,Invertivore,Insessorial,Yellow-browed Shrike-Vireo,Vireolanius eximius
Vireolanius leucotis,Vireonidae,Passeriformes,AVIBASE-D674D8F4,17,3,11,3,4,19.6,11,5.6,6.5,21.6,70.1,11.3,59,16.1,48.9,26,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,Slaty-capped Shrike-Vireo,Vireolanius leucotis
Vireolanius melitophrys,Vireonidae,Passeriformes,AVIBASE-2F06A9E7,11,3,8,0,4,20.5,10.7,5.7,7.1,25,81,13.1,67.9,16.2,68.2,34.7,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,Chestnut-sided Shrike-Vireo,Vireolanius melitophrys
Vireolanius pulchellus,Vireonidae,Passeriformes,AVIBASE-1A8BAFCA,14,2,10,2,4,21.2,11.7,5.7,7,22.1,74.1,11.6,62.5,15.6,49.1,24,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,Green Shrike-Vireo,Vireolanius pulchellus
Zeledonia coronata,Zeledoniidae,Passeriformes,AVIBASE-1A2164E0,5,3,2,0,4,14.2,7.6,3.2,3.6,28.3,62.7,6.2,55.6,10.1,33.4,21,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial,Wrenthrush,Zeledonia coronata
Apalopteron familiare,Zosteropidae,Passeriformes,AVIBASE-DF8ECC87,5,2,3,0,4,16.9,9.1,3.4,4.2,22.8,67.3,10.8,57.3,15.9,63.1,15,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,Bonin White-eye,Apalopteron familiare
Cleptornis marchei,Zosteropidae,Passeriformes,AVIBASE-7B91A089,5,1,3,1,4,18,9.3,3.6,4,25.1,72.3,10.7,61.5,14.8,60.4,20.2,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,Golden White-eye,Cleptornis marchei
Dasycrotapha plateni,Zosteropidae,Passeriformes,AVIBASE-B7C99E58,10,4,6,0,10,11.7,6.8,3,3.2,14.8,54.1,8,46.1,14.8,42,8.7,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,Mindanao Pygmy-Babbler,Dasycrotapha plateni
Dasycrotapha pygmaea,Zosteropidae,Passeriformes,AVIBASE-79C8806A,2,2,0,0,1,11.1,6.2,2.8,3.2,15.3,50,5,44,10.2,41.5,8.7,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,Visayan Pygmy-Babbler,Dasycrotapha pygmaea
Dasycrotapha speciosa,Zosteropidae,Passeriformes,AVIBASE-8558E444,8,3,4,1,6,15.5,9.8,3.4,4.4,18.7,66.4,9.9,56.5,14.9,57.3,16.4,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,Flame-templed Babbler,Dasycrotapha speciosa
Heleia crassirostris,Zosteropidae,Passeriformes,AVIBASE-2F3B27C1,4,1,3,0,4,16.7,10.6,3.7,4.4,19.6,67.4,8.5,58.9,12.5,53.8,19,EltonTraits_Model,NA,NO,NA,NA,Forest,1,1,Omnivore,Omnivore,Insessorial,Flores Heleia,Heleia crassirostris
