species_code,scientific_name,common_name,order,family,family_common,category,taxon_order,report_as,extinct,lookup_species
chispa,Spizella passerina,Chipping Sparrow,Passeriformes,Passerellidae,New World Sparrows,species,32460,NA,FALSE,Spizella passerina
brdowl,Strix varia,Barred Owl,Strigiformes,Strigidae,Owls,species,9011,NA,FALSE,Strix varia
carwre,Thryothorus ludovicianus,Carolina Wren,Passeriformes,Troglodytidae,Wrens,species,26897,NA,FALSE,Thryothorus ludovicianus
winwre3,Troglodytes hiemalis,Winter Wren,Passeriformes,Troglodytidae,Wrens,species,26844,NA,FALSE,Troglodytes hiemalis
amerob,Turdus migratorius,American Robin,Passeriformes,Turdidae,Thrushes and Allies,species,28096,NA,FALSE,Turdus migratorius
easkin,Tyrannus tyrannus,Eastern Kingbird,Passeriformes,Tyrannidae,Tyrant Flycatchers,species,17156,NA,FALSE,Tyrannus tyrannus
yetvir,Vireo flavifrons,Yellow-throated Vireo,Passeriformes,Vireonidae,"Vireos, Shrike-Babblers, and Erpornis",species,18867,NA,FALSE,Vireo flavifrons
warvir,Vireo gilvus,Warbling Vireo,Passeriformes,Vireonidae,"Vireos, Shrike-Babblers, and Erpornis",species,18890,NA,FALSE,Vireo gilvus
reevir1,Vireo olivaceus,Red-eyed Vireo,Passeriformes,Vireonidae,"Vireos, Shrike-Babblers, and Erpornis",species,18910,NA,FALSE,Vireo olivaceus
phivir,Vireo philadelphicus,Philadelphia Vireo,Passeriformes,Vireonidae,"Vireos, Shrike-Babblers, and Erpornis",species,18889,NA,FALSE,Vireo philadelphicus
buhvir,Vireo solitarius,Blue-headed Vireo,Passeriformes,Vireonidae,"Vireos, Shrike-Babblers, and Erpornis",species,18873,NA,FALSE,Vireo solitarius
whtspa,Zonotrichia albicollis,White-throated Sparrow,Passeriformes,Passerellidae,New World Sparrows,species,32672,NA,FALSE,Zonotrichia albicollis
